Country (Code),GDP (current US dollars)
MAR,1.18495E+11
ABW,
AFG,19362969582
AGO,1.05751E+11
ALB,15058879129
AND,3236543909
ARB,2.78133E+12
ARE,4.14179E+11
ARG,5.18475E+11
ARM,12433089919
ASM,
ATG,1623804016
AUS,1.4322E+12
AUT,4.55737E+11
AZE,46939529412
BDI,3078029929
BEL,5.31767E+11
BEN,10358985583
BFA,14441763759
BGD,2.74025E+11
BGR,65132951116
BHR,37746196809
BHS,
BIH,19781776101
BLR,59662495092
BLZ,1925000000
BMU,
BOL,40287647757
BRA,1.86863E+12
BRB,
BRN,13567099498
BTN,2534965163
BWA,18616018903
CAF,2379716827
CAN,1.70933E+12
CEB,1.63018E+12
CHE,7.05501E+11
CHI,
CHL,2.98231E+11
CHN,1.36082E+13
CIV,43007045466
CMR,38502059858
COD,47227535291
COG,11263682694
COL,3.30228E+11
COM,1203080508
CPV,1986928612
CRI,60126014829
CSS,72930271173
CUB,
CUW,
CYM,
CYP,24469841832
CZE,2.44105E+11
DEU,3.99676E+12
DJI,1965982322
DMA,503646211.1
DNK,3.513E+11
DOM,81298585403
DZA,1.80689E+11
EAP,1.628E+13
EAR,1.16367E+13
EAS,2.59183E+13
ECA,3.39492E+12
ECS,2.30339E+13
ECU,1.08398E+11
EGY,2.50895E+11
EMU,1.367E+13
ERI,
ESP,1.42619E+12
EST,30284890757
ETH,84355462494
EUU,1.87486E+13
FCS,8.32156E+11
FIN,2.75683E+11
FJI,5479504926
FRA,2.77754E+12
FRO,
FSM,344501760
GAB,17017401832
GBR,2.82521E+12
GEO,16209818081
GHA,65556464056
GIB,
GIN,10989790256
GMB,1624464137
GNB,1458156026
GNQ,13317453070
GRC,2.18032E+11
GRD,1207454556
GRL,
GTM,78460447920
GUM,
GUY,3610435299
HIC,5.41081E+13
HKG,3.62993E+11
HND,23803230473
HPC,7.26463E+11
HRV,60805659436
HTI,9658084644
HUN,1.55703E+11
IBD,3.04647E+13
IBT,3.26696E+13
IDA,2.21371E+12
IDB,9.91212E+11
IDN,1.04217E+12
IDX,1.22107E+12
IMN,
IND,2.72632E+12
INX,
IRL,3.75903E+11
IRN,
IRQ,2.25914E+11
ISL,25878475760
ISR,3.6969E+11
ITA,2.0739E+12
JAM,15717858487
JOR,42290832158
JPN,4.97092E+12
KAZ,1.70539E+11
KEN,87908262520
KGZ,8092836609
KHM,24571753583
KIR,188284518.8
KNA,1039875050
KOR,1.61942E+12
KWT,1.41678E+11
LAC,5.1934E+12
LAO,18130724396
LBN,56639155556
LBR,3249000000
LBY,48319620013
LCA,1876189778
LCN,5.78729E+12
LDC,1.05223E+12
LIC,5.72219E+11
LIE,
LKA,88900770858
LMC,6.70752E+12
LMY,3.17139E+13
LSO,2791762880
LTE,2.21637E+13
LTU,53251369047
LUX,69487922619
LVA,34849078086
MAC,54545184268
MAF,
MCO,
MDA,11309082555
MDG,12100459087
MDV,5272288443
MEA,3.61687E+12
MEX,1.22381E+12
MHL,211523642.4
MIC,3.1141E+13
MKD,12672131053
MLI,17196688920
MLT,14542039605
MMR,71214803378
MNA,
MNE,5452173041
MNG,13009574621
MNP,
MOZ,14457964381
MRT,5365868725
MUS,14220348673
MWI,7064971176
MYS,3.54348E+11
NAC,2.22101E+13
NAM,14521711630
NCL,
NER,9239513530
NGA,3.9727E+11
NIC,13117859222
NLD,9.12872E+11
NOR,4.34751E+11
NPL,28812491892
NRU,114718022.8
NZL,2.05025E+11
OED,5.25994E+13
OMN,79294928479
OSS,4.516E+11
PAK,3.1257E+11
PAN,65055100000
PER,2.22238E+11
PHL,3.3091E+11
PLW,310111145
PNG,23431596214
POL,5.85783E+11
PRE,1.31287E+12
PRI,1.01131E+11
PRK,
PRT,2.37979E+11
PRY,40842341774
PSE,14615900000
PSS,10302802236
PST,5.00236E+13
PYF,
QAT,1.92009E+11
ROU,2.39553E+11
RUS,1.65755E+12
RWA,9509003197
SAS,3.4578E+12
SAU,7.82483E+11
SDN,40851536134
SEN,24129599552
SGP,3.64157E+11
SLB,1411904531
SLE,3999945202
SLV,26056950000
SMR,
SOM,7484000000
SRB,50508366850
SSA,1.6956E+12
SSD,
SSF,1.69719E+12
SST,5.35693E+11
STP,422296762.3
SUR,3427269682
SVK,1.06472E+11
SVN,54235484383
SWE,5.51032E+11
SWZ,4703787507
SXM,
SYC,1590180446
SYR,
TCA,1022312010
TCD,11302544205
TEA,1.62488E+13
TEC,4.04151E+12
TGO,5300214337
THA,5.04993E+11
TJK,7522947810
TKM,40761142857
TLA,5.55573E+12
TLS,2581000000
TMN,
TON,450353313.9
TSA,3.4578E+12
TSS,1.69719E+12
TTO,23410353435
TUN,39860715814
TUR,7.66509E+11
TUV,42587778.47
TZA,57437073927
UGA,27476945526
UKR,1.30832E+11
UMC,2.44331E+13
URY,59596885024
USA,2.04941E+13
UZB,50499920318
VCT,813093984.1
VEN,
VGB,
VIR,
VNM,2.44948E+11
VUT,887817896.3
WLD,8.57908E+13
WSM,861494700.7
XKX,7900268736
YEM,26914402224
ZAF,3.66298E+11
ZMB,26720073436
ZWE,31000519447
