Country Code,Weighted Total
MAR,39
AFG,2
AHO,2
ALG,27
ARG,333
ARM,15
AUS,1966
AUT,87
AZE,43
BAH,60
BAR,1
BDI,3
BEL,93
BER,1
BLR,184
BOT,2
BRA,720
BRN,1
BUL,558
BWI,5
CAN,707
CHI,32
CHN,1683
CIV,2
CMR,64
COL,29
CRC,7
CRO,240
CUB,841
CYP,2
CZE,106
DEN,455
DJI,1
DOM,14
ECU,5
EGY,21
ERI,1
ESP,793
EST,24
ETH,95
EUA,392
EUN,472
FIN,159
FRA,1189
FRG,943
GAB,2
GBR,1311
GDR,1754
GEO,42
GER,1553
GHA,17
GRE,161
GRN,3
GUA,2
GUY,1
HKG,8
HUN,1354
INA,72
IND,165
IOP,4
IRI,92
IRL,38
IRQ,1
ISL,30
ISR,10
ISV,2
ITA,1439
JAM,210
JPN,1281
KAZ,90
KEN,184
KGZ,4
KOR,1042
KSA,7
KUW,2
LAT,32
LIB,3
LTU,72
MAS,12
MDA,9
MEX,149
MGL,37
MKD,1
MNE,28
MOZ,4
MRI,1
NAM,8
NED,1081
NGR,160
NIG,1
NOR,396
NZL,364
PAK,222
PAN,3
PAR,34
PER,28
PHI,6
POL,786
POR,37
PRK,98
PUR,9
QAT,4
ROU,1081
RSA,75
RUS,1484
SCG,28
SEN,2
SGP,4
SIN,8
SLO,43
SRB,35
SRI,2
SUD,2
SUI,214
SUR,4
SVK,66
SWE,501
SYR,6
TAN,4
TCH,412
TGA,2
THA,45
TJK,4
TOG,1
TPE,77
TRI,26
TTO,16
TUN,20
TUR,133
UAE,3
UGA,14
UKR,297
URS,3750
URU,3
USA,6311
UZB,35
VEN,17
VIE,4
YUG,742
ZAM,3
ZIM,63
(blank),10
Grand Total,42432
