Year,Country,Medal,Value Points
1960,URS,Bronze,1
1960,SWE,Gold,3
1960,FIN,Silver,2
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,USA,Gold,3
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Silver,2
1960,CAN,Bronze,1
1960,USA,Gold,3
1960,TCH,Silver,2
1960,USA,Bronze,1
1960,USA,Gold,3
1960,NED,Silver,2
1960,USA,Bronze,1
1960,USA,Bronze,1
1960,CAN,Gold,3
1960,CAN,Gold,3
1960,EUA,Silver,2
1960,EUA,Silver,2
1960,SWE,Bronze,1
1960,NOR,Gold,3
1960,URS,Silver,2
1960,URS,Bronze,1
1960,URS,Gold,3
1960,EUA,Silver,2
1960,URS,Bronze,1
1960,NOR,Gold,3
1960,URS,Gold,3
1960,POL,Bronze,1
1960,URS,Gold,3
1960,POL,Silver,2
1960,FIN,Bronze,1
1960,URS,Gold,3
1960,URS,Silver,2
1960,NED,Bronze,1
1960,URS,Gold,3
1960,NOR,Silver,2
1960,URS,Bronze,1
1960,URS,Gold,3
1960,USA,Silver,2
1960,USA,Bronze,1
1960,EUA,Gold,3
1960,URS,Silver,2
1960,FRA,Bronze,1
1960,FRA,Gold,3
1960,EUA,Silver,2
1960,AUT,Bronze,1
1960,EUA,Gold,3
1960,USA,Silver,2
1960,AUT,Bronze,1
1960,SUI,Gold,3
1960,AUT,Silver,2
1960,ITA,Bronze,1
1960,SUI,Gold,3
1960,USA,Silver,2
1960,FRA,Bronze,1
1960,AUT,Gold,3
1960,AUT,Silver,2
1960,EUA,Bronze,1
1960,CAN,Gold,3
1960,USA,Silver,2
1960,URS,Bronze,1
1960,URS,Gold,3
1960,URS,Silver,2
1960,FIN,Bronze,1
1960,NOR,Gold,3
1960,SWE,Silver,2
1960,URS,Bronze,1
1960,SWE,Gold,3
1960,SWE,Silver,2
1960,FIN,Bronze,1
1960,FIN,Bronze,1
1960,FIN,Bronze,1
1960,SWE,Gold,3
1960,SWE,Gold,3
1960,SWE,Gold,3
1960,URS,Silver,2
1960,URS,Silver,2
1960,URS,Silver,2
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,URS,Bronze,1
1960,FIN,Gold,3
1960,FIN,Gold,3
1960,FIN,Gold,3
1960,FIN,Gold,3
1960,NOR,Silver,2
1960,NOR,Silver,2
1960,NOR,Silver,2
1960,NOR,Silver,2
1960,SWE,Bronze,1
1960,FIN,Gold,3
1960,FIN,Silver,2
1960,URS,Bronze,1
1960,EUA,Gold,3
1960,NOR,Silver,2
1960,AUT,Bronze,1
1960,EUA,Gold,3
1960,FIN,Silver,2
1964,NOR,Bronze,1
1964,URS,Gold,3
1964,URS,Silver,2
1964,ITA,Bronze,1
1964,ITA,Bronze,1
1964,ITA,Bronze,1
1964,ITA,Bronze,1
1964,CAN,Gold,3
1964,CAN,Gold,3
1964,CAN,Gold,3
1964,CAN,Gold,3
1964,AUT,Silver,2
1964,AUT,Silver,2
1964,AUT,Silver,2
1964,AUT,Silver,2
1964,ITA,Bronze,1
1964,ITA,Bronze,1
1964,GBR,Gold,3
1964,GBR,Gold,3
1964,ITA,Silver,2
1964,ITA,Silver,2
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,TCH,Bronze,1
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,ITA,Bronze,1
1964,ITA,Bronze,1
1964,AUT,Gold,3
1964,AUT,Gold,3
1964,AUT,Silver,2
1964,AUT,Silver,2
1964,EUA,Bronze,1
1964,EUA,Gold,3
1964,EUA,Silver,2
1964,AUT,Bronze,1
1964,EUA,Gold,3
1964,EUA,Silver,2
1964,USA,Bronze,1
1964,EUA,Gold,3
1964,FRA,Silver,2
1964,CAN,Bronze,1
1964,NED,Gold,3
1964,AUT,Silver,2
1964,CAN,Silver,2
1964,CAN,Silver,2
1964,URS,Gold,3
1964,URS,Gold,3
1964,USA,Bronze,1
1964,USA,Bronze,1
1964,EUA,Silver,2
1964,EUA,Silver,2
1964,NOR,Bronze,1
1964,SWE,Gold,3
1964,NOR,Silver,2
1964,FIN,Bronze,1
1964,URS,Gold,3
1964,URS,Silver,2
1964,NOR,Bronze,1
1964,URS,Gold,3
1964,NED,Silver,2
1964,URS,Bronze,1
1964,URS,Gold,3
1964,FIN,Silver,2
1964,URS,Gold,3
1964,PRK,Silver,2
1964,URS,Silver,2
1964,NOR,Bronze,1
1964,NOR,Gold,3
1964,NOR,Silver,2
1964,USA,Gold,3
1964,NOR,Silver,2
1964,URS,Silver,2
1964,URS,Silver,2
1964,URS,Bronze,1
1964,URS,Gold,3
1964,URS,Silver,2
1964,EUA,Bronze,1
1964,AUT,Gold,3
1964,FRA,Silver,2
1964,AUT,Bronze,1
1964,AUT,Gold,3
1964,AUT,Silver,2
1964,AUT,Bronze,1
1964,FRA,Gold,3
1964,AUT,Silver,2
1964,FRA,Gold,3
1964,FRA,Silver,2
1964,USA,Silver,2
1964,USA,Bronze,1
1964,AUT,Gold,3
1964,USA,Silver,2
1964,USA,Bronze,1
1964,FRA,Gold,3
1964,FRA,Silver,2
1964,URS,Bronze,1
1964,URS,Gold,3
1964,URS,Silver,2
1964,SWE,Bronze,1
1964,FIN,Gold,3
1964,NOR,Silver,2
1964,URS,Bronze,1
1964,FIN,Gold,3
1964,NOR,Silver,2
1964,FIN,Bronze,1
1964,FIN,Bronze,1
1964,FIN,Bronze,1
1964,URS,Gold,3
1964,URS,Gold,3
1964,URS,Gold,3
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,SWE,Silver,2
1964,URS,Bronze,1
1964,URS,Bronze,1
1964,URS,Bronze,1
1964,URS,Bronze,1
1964,SWE,Gold,3
1964,SWE,Gold,3
1964,SWE,Gold,3
1964,SWE,Gold,3
1964,FIN,Silver,2
1964,FIN,Silver,2
1964,FIN,Silver,2
1964,FIN,Silver,2
1964,FIN,Bronze,1
1964,SWE,Gold,3
1964,SWE,Silver,2
1964,URS,Bronze,1
1964,URS,Gold,3
1964,FIN,Silver,2
1964,EUA,Bronze,1
1964,NOR,Gold,3
1964,URS,Silver,2
1964,NOR,Bronze,1
1964,NOR,Gold,3
1964,FIN,Silver,2
1964,NOR,Bronze,1
1964,FIN,Gold,3
1964,NOR,Silver,2
1968,URS,Bronze,1
1968,NOR,Gold,3
1968,URS,Silver,2
1968,SWE,Bronze,1
1968,SWE,Bronze,1
1968,SWE,Bronze,1
1968,SWE,Bronze,1
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,NOR,Silver,2
1968,NOR,Silver,2
1968,NOR,Silver,2
1968,NOR,Silver,2
1968,SUI,Bronze,1
1968,SUI,Bronze,1
1968,SUI,Bronze,1
1968,SUI,Bronze,1
1968,ITA,Gold,3
1968,ITA,Gold,3
1968,ITA,Gold,3
1968,ITA,Gold,3
1968,AUT,Silver,2
1968,AUT,Silver,2
1968,AUT,Silver,2
1968,AUT,Silver,2
1968,ROU,Bronze,1
1968,ROU,Bronze,1
1968,ITA,Gold,3
1968,ITA,Gold,3
1968,FRG,Silver,2
1968,FRG,Silver,2
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
1968,CAN,Bronze,1
