Country Name,Country Code,1960 [YR1960],1964 [YR1964],1968 [YR1968],1972 [YR1972],1976 [YR1976],1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1994 [YR1994],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2006 [YR2006],2008 [YR2008],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018]
Afghanistan,AFG,537777811.10,800000044.40,1373333367.00,1595555476.00,2555555567.00,3641723322.00,..,..,..,..,..,..,..,4055176933.00,5226775163.00,6971286732.00,10109218068.00,15856574731.00,20001615789.00,20484873230.00,19362642267.00,19362969582.00
Albania,ALB,..,..,..,..,..,..,1857338012.00,2051236250.00,652174990.80,1880951520.00,3199642580.00,2545967253.00,3480355189.00,4348070165.00,7184681399.00,8896073938.00,12881353508.00,11926953214.00,12319784886.00,13228247844.00,11861352705.00,15058879129.00
Algeria,DZA,2723648552.00,2909351793.00,3852115817.00,6761786387.00,17728347375.00,42345277342.00,53698278906.00,59089067187.00,48003298223.00,42542571306.00,46941496780.00,48187747529.00,54790245601.00,56760288974.00,85324998814.00,117000000000.00,171000000000.00,161000000000.00,209000000000.00,214000000000.00,160000000000.00,181000000000.00
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,514000000.00,512000000.00,496000000.00,563000000.00,576000000.00,644000000.00,643000000.00,653000000.00,..
Andorra,AND,..,..,..,113408231.90,227281024.60,446416105.80,330070689.30,721425939.20,1210013652.00,1017549124.00,1223945357.00,1211932398.00,1434429703.00,1733116883.00,2935659300.00,3543256806.00,4007353157.00,3355695364.00,3164615187.00,3350736367.00,2877311947.00,3236543909.00
Angola,AGO,..,..,..,..,..,5930503401.00,6131475065.00,8769250550.00,8307810974.00,4438321017.00,7526446606.00,6506229607.00,9129594819.00,15285594828.00,23552052408.00,52381006892.00,88538611205.00,83799496611.00,128000000000.00,146000000000.00,101000000000.00,106000000000.00
Antigua and Barbuda,ATG,..,..,..,..,..,131431026.70,208372846.30,398637727.80,499281148.10,589429592.60,633730629.60,727860592.60,830158777.80,814615333.30,919577148.10,1157005444.00,1368431037.00,1152469074.00,1211411704.00,1275576778.00,1464630213.00,1623804016.00
Argentina,ARG,..,25605249382.00,26436857247.00,34733000536.00,51169499891.00,76961923742.00,79092001998.00,126000000000.00,229000000000.00,257000000000.00,272000000000.00,299000000000.00,284000000000.00,97724004252.00,165000000000.00,233000000000.00,362000000000.00,424000000000.00,546000000000.00,526000000000.00,558000000000.00,518000000000.00
Armenia,ARM,..,..,..,..,..,..,..,..,1272577456.00,1315158670.00,1596968913.00,1893726437.00,1911563665.00,2376335048.00,3576615240.00,6384451606.00,11662040714.00,9260284938.00,10619320049.00,11609512940.00,10546135160.00,12433089919.00
Aruba,ABW,..,..,..,..,..,..,..,596423607.10,958463200.20,1245688253.00,1379960894.00,1665100559.00,1873452514.00,1941340782.00,2228491620.00,2424581006.00,2745251397.00,2390502793.00,2534636872.00,2649720670.00,2646927374.00,..
Australia,AUS,18577668272.00,23764139321.00,32665472057.00,51967289720.00,105000000000.00,150000000000.00,193000000000.00,236000000000.00,325000000000.00,322000000000.00,400000000000.00,399000000000.00,415000000000.00,395000000000.00,612000000000.00,746000000000.00,1050000000000.00,1150000000000.00,1550000000000.00,1470000000000.00,1210000000000.00,1430000000000.00
Austria,AUT,6592693841.00,9169983886.00,12440625313.00,22059612417.00,42959976068.00,82058912465.00,67985345162.00,133000000000.00,195000000000.00,204000000000.00,237000000000.00,218000000000.00,197000000000.00,213000000000.00,301000000000.00,336000000000.00,430000000000.00,392000000000.00,409000000000.00,442000000000.00,394000000000.00,456000000000.00
Azerbaijan,AZE,..,..,..,..,..,..,..,..,4991350458.00,3313939554.00,3176703092.00,4446370371.00,5272617196.00,6235856820.00,8680370408.00,20982986344.00,48852482960.00,52902703376.00,69683935845.00,75244294275.00,37867518957.00,46939529412.00
"Bahamas, The",BHS,169803921.60,266666666.70,444901960.80,590900000.00,642100000.00,1335300000.00,2041100000.00,2817900000.00,3109000000.00,3259000000.00,3609000000.00,6833220000.00,8076470000.00,8881160000.00,9055290000.00,10167250000.00,10526000000.00,10095760000.00,10720500000.00,10957300000.00,11838800000.00,..
Bahrain,BHR,..,..,..,..,..,3072698328.00,3905585106.00,3702393617.00,4751063830.00,5567553457.00,6101861436.00,6183776596.00,9062906915.00,9632155053.00,13150166755.00,18505053191.00,25710877660.00,25713271277.00,30749308511.00,33387712766.00,32250132979.00,37746196809.00
Bangladesh,BGD,4274893913.00,5386054619.00,7483685474.00,6288245867.00,10117113333.00,18138049096.00,18920840000.00,26579005760.00,31708874594.00,33768660883.00,46438484108.00,49984559471.00,53369787319.00,54724081491.00,65108544250.00,71819083684.00,91631278239.00,115000000000.00,133000000000.00,173000000000.00,221000000000.00,274000000000.00
