Country Name,Country Code,1960 [YR1960],1964 [YR1964],1968 [YR1968],1972 [YR1972],1976 [YR1976],1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1994 [YR1994],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2006 [YR2006],2008 [YR2008],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018]
Afghanistan,AFG,8996973,9744781,10637063,11791215,12943093,13356511,12204292,11618005,14485546,17075727,18853437,19737765,20779953,22600770,24726684,26433049,27722276,29185507,31161376,33370794,35383128,37172386
Albania,ALB,1608800,1814135,2022272,2243126,2458526,2671997,2904429,3142336,3247039,3207536,3168033,3128530,3089027,3051010,3026939,2992547,2947314,2913021,2900401,2889104,2876101,2866376
Algeria,DZA,11057863,12221675,13663583,15285990,17085801,19221665,21763575,24443467,27028326,28213774,29266405,30192754,31042235,31855109,32692163,33641002,34730608,35977455,37383887,38923687,40551404,42228429
American Samoa,ASM,20123,22854,25989,28567,30456,32646,37946,44343,49896,52095,54211,56171,57821,59080,59681,59107,57492,56079,55667,55791,55741,55465
Andorra,AND,13411,17469,21890,26892,31777,36067,42706,50434,58888,62677,64360,64142,65390,70049,76244,80993,83862,84449,82427,79213,77297,77006
Angola,AGO,5454933,5735044,5771652,6248552,7279509,8341289,9614754,11068050,12657366,13503747,14400719,15359601,16395473,17519417,18758145,20149901,21695634,23356246,25107931,26941779,28842484,30809762
Antigua and Barbuda,ATG,54131,57641,62521,64133,62367,61865,61786,61771,64471,67204,70173,73224,76016,78295,80336,82704,85397,88028,90409,92562,94527,96286
Argentina,ARG,20481779,21824425,23168267,24653175,26264681,27896528,29737093,31668949,33529326,34402672,35246374,36063459,36870787,37681749,38491972,39289878,40080160,40788453,41733271,42669500,43590368,44494502
Armenia,ARM,1874121,2145001,2401143,2650486,2889579,3099754,3285599,3504659,3442817,3283667,3168221,3108687,3069591,3033978,3000720,2958307,2907618,2877319,2884229,2912403,2936146,2951776
Aruba,ABW,54211,57032,58386,59840,60586,60096,62836,61079,68235,76700,83200,87277,90853,94992,98737,100834,101358,101669,102560,103774,104872,105845
Australia,AUS,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,17855000,18311000,18711000,19153000,19651400,20127400,20697900,21249200,22031750,22733465,23475686,24190907,24992369
Austria,AUT,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7936118,7959017,7976789,8011566,8081957,8171966,8268641,8321496,8363404,8429991,8546356,8736668,8847037
Azerbaijan,AZE,3895397,4456687,4960232,5385263,5768721,6150733,6557581,7010027,7382000,7597000,7763000,7913000,8048600,8171950,8306500,8484550,8763400,9054332,9295784,9535079,9757812,9942334
"Bahamas, The",BHS,109534,133709,158648,177866,192909,210591,229923,247451,266029,275846,283978,290597,298051,307660,318894,331033,343681,354942,363584,370633,377931,385640
Bahrain,BHR,162427,182887,200653,229155,283752,359888,407225,465198,523086,549583,578666,613700,664611,735146,829844,958418,1114641,1240860,1299943,1336075,1425791,1569439
Bangladesh,BGD,48013504,53741716,60918454,66625705,71652381,79639491,88416521,98186350,107983704,112737683,117649932,122682815,127657854,132478086,136986432,140921167,144304167,147575430,151007807,154520167,157970840,161356039
Barbados,BRB,230980,234586,237241,241515,247583,252394,255497,258977,262886,264893,267049,269336,271515,273425,275284,277477,279946,282131,283700,284825,285796,286641
Belarus,BLR,8198000,8524224,8874552,9188968,9411000,9643000,9910000,10140000,10216000,10227000,10160000,10069000,9979610,9865548,9730146,9604924,9527985,9490583,9464495,9474511,9501534,9485386
Belgium,BEL,9153489,9378113,9618756,9711115,9818227,9859242,9855372,9901664,10045158,10115603,10156637,10203008,10251250,10332785,10421137,10547958,10709973,10895586,11106932,11209057,11331422,11422068
Belize,BLZ,92064,103069,116061,127150,135147,144155,160347,179028,194324,201680,213664,230244,247315,262378,276504,291329,306823,322464,338000,353366,368400,383071
Benin,BEN,2431622,2585965,2791590,3043567,3347173,3717165,4156819,4672852,5331803,5714220,6094259,6470265,6865951,7295394,7750004,8216897,8696921,9199259,9729248,10286842,10872067,11485048
Bermuda,BMU,44400,48900,53000,54200,53200,54670,56423,58347,58595,59320,60129,60943,61833,62912,63740,64523,65273,65124,64798,65139,64555,63968
Bhutan,BTN,223288,246964,278734,316828,359725,406875,451476,509540,534516,531897,541465,564377,591021,616018,638815,657410,671613,685503,701583,719056,736709,754394
Bolivia,BOL,3656955,3957757,4297517,4682390,5113456,5579935,6054123,6580312,7160920,7466793,7779267,8096761,8418264,8742814,9069039,9395446,9721454,10048590,10377676,10706517,11031813,11353142
Bosnia and Herzegovina,BIH,3225668,3478997,3675454,3851153,4025266,4179855,4350577,4509461,4233676,3936524,3764425,3734337,3751176,3759387,3764194,3765424,3754271,3705472,3604972,3482104,3386267,3323929
Botswana,BWA,502745,547873,596947,667092,769979,897868,1031439,1200067,1363554,1434059,1504730,1575824,1643334,1704642,1765527,1835908,1915639,1987105,2039551,2088614,2159944,2254126
Brazil,BRA,72179226,81064571,90387079,99859383,109790938,120694009,132383568,143627503,154259380,159432716,164614688,169785250,174790340,179537520,184006481,188167356,192030362,195713635,199287296,202763735,206163058,209469333
British Virgin Islands,VGB,8048,8646,9421,10208,10821,11478,13322,16154,18438,19074,19502,19821,20311,21129,22334,24023,26097,27794,28650,28989,29355,29802
Brunei Darussalam,BRN,81702,97812,117898,142022,168181,193879,218175,244404,273892,289454,304622,319144,333165,346782,359433,370263,379421,388646,398989,409769,419800,428962
Bulgaria,BGR,7867374,8144340,8369603,8576200,8758599,8861535,8960679,8981446,8540164,8443591,8362826,8256786,8170172,7837161,7716860,7601022,7492561,7395599,7305888,7223938,7127822,7024216
Burkina Faso,BFA,4829288,5098890,5434041,5825173,6274037,6822843,7531242,8356305,9297113,9816588,10372745,10968724,11607942,12293100,13030569,13829176,14689725,15605217,16571246,17586017,18646378,19751535
Burundi,BDI,2797932,3026290,3336927,3569666,3770871,4157298,4621103,5168698,5685565,5898967,6060111,6185562,6378871,6704113,7131693,7607849,8126102,8675602,9245988,9844297,10487998,11175378
Cabo Verde,CPV,201765,222948,256176,271843,271342,283847,306136,325746,355757,376407,395533,412514,428188,442951,456617,469170,480842,492654,505235,518269,531146,543767
Cambodia,KHM,5722370,6331449,6779787,7302111,7404684,6693764,7447853,8435912,9623889,10317899,10982917,11600508,12155239,12637727,13066469,13477709,13883834,14312212,14780454,15274503,15766293,16249798
Cameroon,CMR,5176918,5643036,6201413,6867178,7664406,8621406,9757841,11075422,12499499,13230984,13970813,14723768,15513945,16357602,17259322,18223674,19252666,20341241,21485266,22681858,23926539,25216237
Canada,CAN,17909009,19325000,20744000,22218463,23449808,24515667,25607053,26791747,28371264,29000663,29610218,30155173,30685730,31360079,31940655,32571174,33247118,34004889,34714222,35437435,36109487,37058856
